index;Name;Type;Embossing;Code;Type;Surface;Full_name;Repository_links;Full_texture_link;Thumb_link
24;Onyx_Grey;1;U;960;PAL;ST9;PAL_U960_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U960_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U960_ST9_thumb.jpg
25;Cubanit_Grey;1;U;767;PAL;ST9;PAL_U767_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U767_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U767_ST9_thumb.jpg
26;Fjord_Green;1;U;636;PAL;ST9;PAL_U636_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U636_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U636_ST9_thumb.jpg
27;Monument_Grey;1;U;780;PAL;ST9;PAL_U780_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U780_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U780_ST9_thumb.jpg
28;Antique_Rose;1;U;325;PAL;ST9;PAL_U325_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U325_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U325_ST9_thumb.jpg
29;Alb;2;I;;PAL;ST9;PAL_8681_SM;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_W1100_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_W1100_ST9_thumb.jpg
30;Gri_rece;2;I;;PAL;ST9;PAL_0191_SU;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U763_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U763_ST9_thumb.jpg
31;Satin;2;I;;PAL;ST9;PAL_7045_SU;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U156_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U156_ST9_thumb.jpg
32;Basalt;2;I;;PAL;ST9;PAL_0166_BS;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg
33;Soft_Black;1;U;899;PAL;ST9;PAL_U899_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg
