index;Name;Type;Embossing;Code;Type;Surface;Full name;Repository links;Full texture link;Thumb link
24;Onyx Grey;1;U;960;PAL;ST9;PAL_U960_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U960_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U960_ST9_thumb.jpg
25;Cubanit Grey;1;U;767;PAL;ST9;PAL_U767_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U767_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U767_ST9_thumb.jpg
26;Fjord Green;1;U;636;PAL;ST9;PAL_U636_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U636_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U636_ST9_thumb.jpg
27;Monument Grey;1;U;780;PAL;ST9;PAL_U780_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U780_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U780_ST9_thumb.jpg
28;Antique Rose;1;U;325;PAL;ST9;PAL_U325_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U325_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U325_ST9_thumb.jpg
29;Alb;2;I;;;;PAL 8681 SM;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_W1100_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_W1100_ST9_thumb.jpg
30;Gri rece;2;I;;;;PAL 0191 SU;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U763_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U763_ST9_thumb.jpg
31;Satin;2;I;;;;PAL 7045 SU;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U156_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U156_ST9_thumb.jpg
32;Basalt;2;I;;;;PAL 0166 BS;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg
33;Soft Black;1;U;899;PAL;ST9;PAL_U899_ST9;;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_U899_ST9_thumb.jpg
